"Rank","Player","Team","Bye","POS","AVG"
"245","Los Angeles Rams","DST","8","DST12","208.0"
"246","Ollie Gordon II","MIA","12","RB72","246.0"
"247","Tyler Conklin","LAC","12","TE34","246.0"
"248","San Francisco 49ers","DST","14","DST13","211.0"
"249","Kyle Monangai","CHI","5","RB73","247.0"
"250","Dallas Cowboys","DST","10","DST14","212.0"
"251","Tyler Higbee","LAR","8","TE35","248.0"
"252","Terrance Ferguson","LAR","8","TE36","248.0"
"253","Seattle Seahawks","DST","8","DST15","215.0"
"254","New York Jets","DST","9","DST16","216.0"
"255","Noah Gray","KC","10","TE37","250.5"
"256","Jordan James","SF","14","RB74","250.5"
"257","Chicago Bears","DST","5","DST17","220.0"
"258","Josh Reynolds","NYJ","9","WR95","253.0"
"259","Tampa Bay Buccaneers","DST","9","DST18","225.0"
"260","Kendre Miller","NO","11","RB75","256.0"
"261","KaVontae Turpin","DAL","10","WR96","266.5"
"262","Cleveland Browns","DST","9","DST19","233.0"
"263","Jaylin Lane","WAS","12","WR97","233.0"
"264","Audric Estime","DEN","12","RB76","258.5"
"265","Washington Commanders","DST","12","DST20","235.0"
"266","Tre Tucker","LV","8","WR98","259.0"
"267","Malik Washington","MIA","12","WR99","261.0"
"268","New York Giants","DST","14","DST21","237.0"
"269","Parker Washington","JAC","8","WR100","237.0"
"270","New England Patriots","DST","14","DST22","239.0"
"271","Elijah Moore","BUF","7","WR101","261.5"
"272","Isaac TeSlaa","DET","8","WR102","266.0"
"273","Curtis Samuel","BUF","7","WR103","278.0"
"274","Noah Brown","WAS","12","WR104","242.0"
"275","Roman Wilson","PIT","5","WR105","262.5"
"276","Isaiah Davis","NYJ","9","RB77","243.0"
"277","Jalen Milroe","SEA","8","QB36","264.0"
"278","Oronde Gadsden II","LAC","12","TE38","264.0"
"279","Jordan Whittington","LAR","8","WR106","246.0"
"280","Jermaine Burton","CIN","10","WR107","247.0"
"281","Indianapolis Colts","DST","11","DST23","249.0"
"282","Taysom Hill","NO","11","TE39","266.0"
"283","Elijah Mitchell","KC","10","RB78","268.0"
"284","Ty Johnson","BUF","7","RB79","274.0"
"285","Marquez Valdes-Scantling","SEA","8","WR108","269.5"
"286","Allen Lazard","NYJ","9","WR109","255.0"
"287","Jacory Croskey-Merritt","WAS","12","RB80","269.0"
"288","Kayshon Boutte","NE","14","WR110","272.5"
"289","Savion Williams","GB","5","WR111","259.0"
"290","Arizona Cardinals","DST","8","DST24","261.0"
"291","Woody Marks","HOU","6","RB81","273.0"
"292","Brandin Cooks","NO","11","WR112","273.0"
"293","Cincinnati Bengals","DST","10","DST25","265.0"
"294","Kirk Cousins","ATL","5","QB37","274.0"
"295","Zack Moss","CIN","10","RB82","274.5"
"296","Demarcus Robinson","SF","14","WR113","282.0"
"297","Nick Westbrook-Ikhine","MIA","12","WR114","287.5"
"298","Devaughn Vele","DEN","12","WR115","279.5"
"299","Jalen Nailor","MIN","6","WR116","296.5"
"300","Atlanta Falcons","DST","5","DST26","271.0"
"301","Troy Franklin","DEN","12","WR117","277.0"
"302","Xavier Restrepo","TEN","10","WR118","286.0"
"303","Harold Fannin Jr.","CLE","9","TE40","296.0"
"304","Emanuel Wilson","GB","5","RB83","289.5"
"305","Jaleel McLaughlin","DEN","12","RB84","274.0"
"306","Tai Felton","MIN","6","WR119","277.0"
"307","Ben Sinnott","WAS","12","TE41","286.0"
"308","Trevor Etienne","CAR","14","RB85","284.5"
"309","Miami Dolphins","DST","12","DST27","281.0"
"310","Noah Fant","SEA","8","TE42","281.0"
"311","Khalil Herbert","IND","11","RB86","286.0"
"312","Christian Watson","GB","5","WR120","291.0"
"313","Las Vegas Raiders","DST","8","DST28","293.0"
"314","Damien Martinez","SEA","8","RB87","296.0"
"315","Tim Patrick","DET","8","WR121","298.0"
"316","Kenneth Gainwell","PIT","5","RB88","299.0"
"317","Spencer Rattler","NO","11","QB38","300.0"
"318","Cam Akers","NO","11","RB89","303.0"
"319","Gardner Minshew II","KC","10","QB39","304.0"
"320","Zay Jones","ARI","8","WR122","305.0"
"321","Devin Singletary","NYG","14","RB90","308.0"
"322","Tory Horton","SEA","8","WR123","309.0"
"323","Tennessee Titans","DST","10","DST29","310.0"
"324","Jacksonville Jaguars","DST","8","DST30","311.0"
"325","Treylon Burks","TEN","10","WR124","312.0"
"326","Marcus Mariota","WAS","12","QB40","313.0"
"327","Colton Dowell","TEN","10","WR125","314.0"
"328","Zach Wilson","MIA","12","QB41","316.0"
"329","Ameer Abdullah","","","RB91","317.0"
"330","Alexander Mattison","MIA","12","RB92","318.0"
"331","Michael Mayer","LV","8","TE43","319.0"
"332","Antonio Gibson","NE","14","RB93","321.0"
"333","Carolina Panthers","DST","14","DST31","324.0"
"334","Van Jefferson","TEN","10","WR126","325.0"
"335","Kenny Pickett","CLE","9","QB42","326.0"
"336","Devontez Walker","BAL","7","WR127","327.0"
"337","Dawson Knox","BUF","7","TE44","328.0"
"338","Hendon Hooker","DET","8","QB43","329.0"
"339","Will Dissly","LAC","12","TE45","330.0"
""
""
