name,position,ADP,proj_points
Jake Elliott,PK,153.6,141.0
Josh Downs,WR,155.9,147.5
Taysom Hill,TE,155.9,91.8
Baker Mayfield,QB,156.0,381.8
Jaylen Wright,RB,156.6,25.2
Ka'imi Fairbairn,PK,156.8,172.0
Antonio Gibson,RB,158.6,91.9
Adam Thielen,WR,159.0,115.5
MarShawn Lloyd,RB,159.1,2.3
Geno Smith,QB,159.8,281.0
Dontayvion Wicks,WR,160.0,91.0
Will Levis,QB,160.0,131.9
Cameron Dicker,PK,160.0,179.0
Daniel Carlson,PK,160.2,145.0
Alexander Mattison,RB,160.7,119.4
Adonai Mitchell,WR,160.9,42.3
Jason Sanders,PK,161.3,166.0
Darnell Mooney,WR,161.8,161.2
Ricky Pearsall,WR,162.7,78.0
Ja'Lynn Polk,WR,163.4,26.7
Tyler Bass,PK,165.9,146.0
Dawson Knox,TE,165.9,48.1
Rashod Bateman,WR,169.6,152.1
Gabe Davis,WR,169.6,43.9
Michael Wilson,WR,170.2,101.0
Tyrone Tracy Jr.,RB,174.0,163.3
Bo Nix,QB,177.5,328.7
Matt Prater,PK,193.5,33.0
