"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"340",14,"A.J. Dillon",PHI,"0","0","0","0","0","0","0","0","0"
"341",14,"Samaje Perine",CIN,"67.4","0","0","28","322","1","20","92","1"
"342",14,"Cam Akers",NO,"86.2","0","0","14","68","3","104","444","2"
"343",14,"Dawson Knox",BUF,"48.1","0","0","22","311","1","0","0","0"
"344",14,"Marquez Valdes-Scantling",SEA,"75","0","0","19","411","4","1","4","0"
"345",14,"Demarcus Robinson",SF,"108","0","0","31","505","7","0","0","0"
"346",14,"Michael Mayer",LV,"26.1","0","0","21","156","0","0","0","0"
"347",14,"Josh Reynolds",NYJ,"31.9","0","0","13","194","1","0","0","0"
"348",14,"KaVontae Turpin",DAL,"88.7","0","0","31","420","2","16","92","0"
"349",14,"Troy Franklin",DEN,"53.1","0","0","28","263","2","2","8","0"
"350",14,"Donovan Edwards",NYJ,"0","0","0","0","0","0","0","0","0"
"351",14,"New York Giants",NYG,"91","0","0","0","0","0","0","0","0"
"352",14,"Cam Little",JAC,"126","0","0","0","0","0","0","0","0"
"353",14,"Jake Moody",SF,"118","0","0","0","0","0","0","0","0"
"354",14,"Isaiah Bond",FA,"0","0","0","0","0","0","0","0","0"
"355",14,"Noah Brown",WAS,"68.8","0","0","35","453","1","0","0","0"
"356",14,"Jameis Winston",NYG,"143.1","2121","13","0","0","0","25","83","1"
"357",14,"LeQuint Allen Jr.",JAC,"0","0","0","0","0","0","0","0","0"
"358",14,"Tank Dell",HOU,"114.5","0","0","51","667","3","9","43","0"
"359",14,"Luke Musgrave",GB,"8","0","0","7","45","0","0","0","0"
"360",14,"Austin Hooper",NE,"86.1","0","0","45","476","3","0","0","0"
"361",14,"Chimere Dike",TEN,"0","0","0","0","0","0","0","0","0"
"362",14,"Mack Hollins",NE,"83.3","0","0","31","378","5","0","0","0"
"363",14,"Gunnar Helm",TEN,"0","0","0","0","0","0","0","0","0"
"364",14,"Kirk Cousins",ATL,"192.3","3508","18","0","0","0","23","0","0"
"365",14,"Brandon McManus",GB,"99","0","0","0","0","0","0","0","0"
"366",14,"Spencer Rattler",NO,"72.3","1317","4","0","0","0","18","146","0"
"367",14,"Washington Commanders",WAS,"90","0","0","0","0","0","0","0","0"
"368",14,"Allen Lazard",NYJ,"107.5","0","0","37","530","6","0","0","0"
"369",14,"Eddy Pineiro",FA,"107","0","0","0","0","0","0","0","0"
"370",14,"Trey Sermon",PIT,"45.8","0","0","16","99","0","56","159","2"
"371",14,"Jaylin Lane",WAS,"0","0","0","0","0","0","0","0","0"
"372",14,"Robert Woods",PIT,"28.3","0","0","20","203","0","0","0","0"
"373",14,"Ameer Abdullah",FA,"105.2","0","0","40","261","3","66","311","2"
"374",14,"Will Levis",TEN,"131.9","2091","13","0","0","0","45","183","0"
"375",14,"Greg Dortch",ARI,"71.8","0","0","37","342","3","5","31","0"
"376",14,"Van Jefferson",TEN,"51.6","0","0","24","276","2","0","0","0"
"377",14,"Tommy Tremble",CAR,"44.9","0","0","23","234","2","0","0","0"
"378",14,"Foster Moreau",NO,"87.3","0","0","32","413","5","0","0","0"
"379",14,"Atlanta Falcons",ATL,"97","0","0","0","0","0","0","0","0"
"380",14,"Luke Schoonmaker",DAL,"43.6","0","0","27","241","1","0","0","0"
"381",14,"Curtis Samuel",BUF,"48.2","0","0","31","253","1","5","14","0"
"382",14,"Matt Prater",FA,"33","0","0","0","0","0","0","0","0"
"383",14,"Antwane Wells Jr.",NYG,"0","0","0","0","0","0","0","0","0"
"384",14,"Arian Smith",NYJ,"0","0","0","0","0","0","0","0","0"
"385",14,"Craig Reynolds",DET,"19.4","0","0","3","40","0","31","139","0"
"386",14,"Mason Rudolph",PIT,"104.8","1530","9","0","0","0","25","106","1"
"387",14,"Jahan Dotson",PHI,"32.4","0","0","19","216","0","1","13","0"
"388",14,"Theo Wease Jr.",MIA,"0","0","0","0","0","0","0","0","0"
"389",14,"Chad Ryland",ARI,"125","0","0","0","0","0","0","0","0"
"390",14,"Dillon Gabriel",CLE,"0","0","0","0","0","0","0","0","0"
"391",14,"Kalel Mullings",TEN,"0","0","0","0","0","0","0","0","0"
"392",15,"Ja'Quinden Jackson",JAC,"0","0","0","0","0","0","0","0","0"
"393",15,"Kenny Pickett",CLE,"26.1","291","2","0","0","0","9","15","1"
"394",15,"Jacob Cowing",SF,"8.7","0","0","4","80","0","1","7","0"
"395",15,"Blake Grupe",NO,"131","0","0","0","0","0","0","0","0"
"396",15,"Emari Demercado",ARI,"46.7","0","0","16","104","0","24","223","1"
"397",15,"Cordarrelle Patterson",PIT,"31.5","0","0","12","80","1","32","135","0"
"398",15,"Cairo Santos",CHI,"109","0","0","0","0","0","0","0","0"
"399",15,"Jeremy Ruckert",NYJ,"19.5","0","0","18","105","0","0","0","0"
"400",15,"Jeremy McNichols",WAS,"59.3","0","0","9","27","0","55","261","4"
"401",15,"Ja'Lynn Polk",NE,"26.7","0","0","12","87","2","1","0","0"
"402",15,"Olamide Zaccheaus",CHI,"89.9","0","0","45","506","3","1","8","0"
"403",15,"Stone Smartt",NYJ,"26.8","0","0","16","208","0","0","0","0"
"404",15,"Kendrick Bourne",NE,"51.1","0","0","28","305","1","1","6","0"
"405",15,"JuJu Smith-Schuster",KC,"44.1","0","0","18","231","2","0","0","0"
"406",15,"Jonathon Brooks",CAR,"6","0","0","3","23","0","9","22","0"
"407",15,"D'Ernest Johnson",FA,"29.9","0","0","12","96","0","32","143","0"
"408",15,"Zay Jones",ARI,"12.4","0","0","8","84","0","0","0","0"
"409",15,"Aidan O'Connell",LV,"97.5","1612","8","0","0","0","21","30","1"
"410",15,"Kenny McIntosh",SEA,"20.9","0","0","3","22","0","31","172","0"
"411",15,"Graham Gano",NYG,"50","0","0","0","0","0","0","0","0"
"412",15,"Josh Oliver",MIN,"54.8","0","0","22","258","3","0","0","0"
"413",15,"KhaDarel Hodge",ATL,"28.6","0","0","7","131","1","0","0","0"
"414",15,"Indianapolis Colts",IND,"91","0","0","0","0","0","0","0","0"
"415",15,"KeAndre Lambert-Smith",LAC,"0","0","0","0","0","0","0","0","0"
"416",15,"Treylon Burks",TEN,"5.5","0","0","4","34","0","2","1","0"
"417",15,"Cincinnati Bengals",CIN,"104","0","0","0","0","0","0","0","0"
"418",15,"Las Vegas Raiders",LV,"71","0","0","0","0","0","0","0","0"
"419",15,"Clyde Edwards-Helaire",NO,"8.5","0","0","3","24","0","13","46","0"
"420",15,"Darnell Washington",PIT,"35.5","0","0","19","200","1","0","0","0"
"421",15,"Julius Chestnut",TEN,"12.3","0","0","2","11","0","22","102","0"
"422",15,"Jalin Hyatt",NYG,"10.2","0","0","8","62","0","0","0","0"
"423",15,"Elijah Higgins",ARI,"39.2","0","0","20","172","2","0","0","0"
"424",15,"Malachi Corley",NYJ,"3.7","0","0","3","16","0","2","26","0"
"425",15,"Tyler Badie",DEN,"7.9","0","0","3","-2","0","11","86","0"
"426",15,"Marcus Yarns",NO,"0","0","0","0","0","0","0","0","0"
"427",15,"Jonathan Mingo",DAL,"23.7","0","0","17","167","0","2","5","0"
"428",15,"Cade Stover",HOU,"26.8","0","0","15","133","1","0","0","0"
"429",15,"Javon Baker",NE,"1.7","0","0","1","12","0","0","0","0"
"430",15,"Zach Wilson",MIA,"0","0","0","0","0","0","0","0","0"
"431",15,"Kalif Raymond",DET,"48","0","0","17","215","2","2","0","0"
"432",15,"Tyler Johnson",NYJ,"48.1","0","0","26","291","1","0","0","0"
"433",15,"Deuce Vaughn",DAL,"10.3","0","0","3","18","0","17","70","0"
"434",15,"Jamari Thrash",CLE,"3.7","0","0","3","22","0","0","0","0"
"435",15,"Joe Milton III",DAL,"19.2","241","1","0","0","0","10","16","1"
"436",15,"Hassan Haskins",LAC,"31.3","0","0","3","49","1","34","89","2"
"437",15,"Kyle Juszczyk",SF,"48.1","0","0","19","200","2","5","26","1"
"438",15,"Greg Dulcich",NYG,"5.3","0","0","5","28","0","0","0","0"
"439",15,"Tyler Goodson",IND,"38.9","0","0","11","61","1","32","153","1"
"440",15,"Pierre Strong Jr.",CLE,"28.2","0","0","14","104","0","26","108","0"
"441",15,"Grant Calcaterra",PHI,"47.8","0","0","24","298","1","0","0","0"
"442",15,"New Orleans Saints",NO,"98","0","0","0","0","0","0","0","0"
"443",15,"Mitchell Evans",CAR,"0","0","0","0","0","0","0","0","0"
"444",15,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0"
"445",15,"AJ Barner",SEA,"63.5","0","0","30","245","4","0","0","0"
"446",15,"Chris Tyree",NO,"0","0","0","0","0","0","0","0","0"
"447",15,"Hunter Luepke",DAL,"20.9","0","0","12","111","0","12","38","0"
"448",15,"Sam Howell",MIN,"0.2","24","0","0","0","0","1","2","0"
"449",15,"Josh Whyle",TEN,"46.8","0","0","28","248","1","0","0","0"
"450",15,"Michael Carter",ARI,"30.3","0","0","11","57","0","35","131","1"
"451",15,"Carson Steele",KC,"20.4","0","0","7","26","0","56","183","0"
"452",15,"Alec Ingold",MIA,"20.8","0","0","11","96","0","10","17","1"
"453",15,"David Moore",CAR,"69.1","0","0","32","351","3","1","0","0"
"454",15,"Cedrick Wilson Jr.",NO,"39.9","0","0","20","211","1","0","0","0"
"455",15,"Jordan Watkins",SF,"0","0","0","0","0","0","0","0","0"
"456",15,"Deshaun Watson",CLE,"79.7","1148","5","0","0","0","31","148","1"
"457",15,"Marcus Mariota",WAS,"45.8","364","4","0","0","0","18","92","1"
"458",15,"Luke Lachey",HOU,"0","0","0","0","0","0","0","0","0"
"459",15,"Rasheen Ali",BAL,"3.1","0","0","0","0","0","10","31","0"
"460",15,"Colby Parkinson",LAR,"50.4","0","0","30","294","1","0","0","0"
"461",15,"Daniel Bellinger",NYG,"19.5","0","0","14","125","0","0","0","0"
"462",15,"Malik Willis",GB,"51.8","550","3","0","0","0","20","138","1"
"463",15,"Ezekiel Elliott",FA,"51.5","0","0","12","69","0","74","226","3"
"464",15,"Jake Bobo",SEA,"23.2","0","0","13","107","1","0","0","0"
"465",15,"Dare Ogunbowale",HOU,"46.5","0","0","19","198","1","30","112","0"
"466",15,"Michael Gallup",WAS,"0","0","0","0","0","0","0","0","0"
"467",15,"Tanner Hudson",CIN,"29","0","0","19","154","1","1","1","0"
"468",15,"Michael Woods II",CLE,"10","0","0","7","65","0","0","0","0"
"469",15,"Jacksonville Jaguars",JAC,"71","0","0","0","0","0","0","0","0"
"470",15,"Brevin Jordan",HOU,"1.7","0","0","2","7","0","0","0","0"
"471",15,"Rondale Moore",MIN,"0","0","0","0","0","0","0","0","0"
"472",15,"C.J. Ham",MIN,"11","0","0","5","35","0","2","10","1"
"473",15,"Jake Browning",CIN,"-0.2","0","0","0","0","0","2","-2","0"
"474",15,"Ricky White III",SEA,"0","0","0","0","0","0","0","0","0"
"475",16,"Tylan Wallace",BAL,"30.8","0","0","11","193","1","0","0","0"
"476",16,"Cooper Rush",BAL,"114.6","1844","12","0","0","0","26","18","0"
"477",16,"Kaden Prather",BUF,"0","0","0","0","0","0","0","0","0"
"478",16,"DeeJay Dallas",ARI,"19.5","0","0","3","11","1","9","49","0"
"479",16,"Tyrod Taylor",NYJ,"20.1","119","3","0","0","0","3","13","0"
"480",16,"Derius Davis",LAC,"33.6","0","0","13","112","2","12","39","0"
"481",16,"Devontez Walker",BAL,"8.6","0","0","1","21","1","0","0","0"
"482",16,"Mecole Hardman Jr.",GB,"27.2","0","0","12","90","0","5","62","1"
"483",16,"Julian Hill",MIA,"16","0","0","12","100","0","0","0","0"
"484",16,"Xavier Hutchinson",HOU,"17.7","0","0","12","117","0","0","0","0"
"485",16,"David Bell",CLE,"4.2","0","0","3","27","0","0","0","0"
"486",16,"Ronnie Rivers",LAR,"15.8","0","0","5","34","0","22","99","0"
"487",16,"Mo Alie-Cox",IND,"26.7","0","0","12","147","1","0","0","0"
"488",16,"Kylen Granson",PHI,"25.2","0","0","14","182","0","0","0","0"
"489",16,"Johnny Mundt",JAC,"35.7","0","0","19","142","2","0","0","0"
"490",16,"Brock Wright",DET,"28.5","0","0","13","100","2","0","0","0"
"491",16,"Patrick Taylor Jr.",SF,"28.3","0","0","3","25","0","39","183","1"
"492",16,"Jase McClellan",FA,"3.2","0","0","0","0","0","13","32","0"
"493",16,"K.J. Osborn",WAS,"15.2","0","0","7","57","1","0","0","0"
"494",16,"Jimmy Garoppolo",LAR,"20.9","334","2","0","0","0","2","5","0"
"495",16,"Drew Sample",CIN,"26.5","0","0","20","109","1","1","-4","0"
"496",16,"Dylan Laube",LV,"-2","0","0","0","0","0","1","0","0"
"497",16,"Payne Durham",TB,"29","0","0","11","115","2","0","0","0"
"498",16,"Harrison Bryant",PHI,"13.1","0","0","9","86","0","0","0","0"
"499",16,"John Bates",WAS,"10.4","0","0","8","84","0","0","0","0"
"500",16,"Luke Farrell",SF,"12.7","0","0","12","67","0","0","0","0"
"501",16,"Travis Homer",CHI,"4.9","0","0","3","11","0","6","23","0"
"502",16,"Trent Sherfield Sr.",DEN,"18.3","0","0","8","83","1","0","0","0"
"503",16,"Adam Trautman",DEN,"37.3","0","0","13","188","2","0","0","0"
