"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"52",6,"Omarion Hampton",LAC,"0","0","0","0","0","0","0","0","0"
"53",6,"DeVonta Smith",PHI,"165.4","0","0","68","833","8","1","1","0"
"54",6,"Jameson Williams",DET,"183.2","0","0","58","1001","7","11","61","1"
"55",6,"David Montgomery",DET,"203.7","0","0","36","341","0","185","775","12"
"56",6,"Sam LaPorta",DET,"144.6","0","0","60","726","7","0","0","0"
"57",6,"D'Andre Swift",CHI,"193.5","0","0","42","386","0","253","959","6"
"58",6,"Xavier Worthy",KC,"157.7","0","0","59","638","6","20","104","3"
"59",6,"RJ Harvey",DEN,"0","0","0","0","0","0","0","0","0"
"60",6,"Patrick Mahomes II",KC,"293.5","3928","26","0","0","0","58","307","2"
"61",6,"Aaron Jones Sr.",MIN,"216.1","0","0","51","408","2","255","1138","5"
"62",6,"Baker Mayfield",TB,"381.8","4500","41","0","0","0","60","378","3"
"63",6,"Jaylen Waddle",MIA,"120.6","0","0","58","744","2","4","12","0"
"64",6,"Quinshon Judkins",CLE,"0","0","0","0","0","0","0","0","0"
"65",6,"TreVeyon Henderson",NE,"0","0","0","0","0","0","0","0","0"
"66",6,"Chris Olave",NO,"60.7","0","0","32","400","1","1","7","0"
"67",6,"Chris Godwin",TB,"112.8","0","0","50","576","5","1","2","0"
"68",6,"Tetairoa McMillan",CAR,"0","0","0","0","0","0","0","0","0"
"69",6,"Travis Hunter",JAC,"0","0","0","0","0","0","0","0","0"
"70",6,"Tony Pollard",TEN,"180.2","0","0","41","238","0","260","1079","5"
"71",7,"Calvin Ridley",TEN,"167.2","0","0","64","1017","4","8","55","1"
"72",7,"T.J. Hockenson",MIN,"66","0","0","41","455","0","0","0","0"
"73",7,"Kaleb Johnson",PIT,"0","0","0","0","0","0","0","0","0"
"74",7,"George Pickens",DAL,"134.9","0","0","59","900","3","2","-6","0"
"75",7,"Isiah Pacheco",KC,"50.9","0","0","12","79","0","83","310","1"
"76",7,"Jerry Jeudy",CLE,"195.9","0","0","90","1229","4","0","0","0"
"77",7,"Jordan Addison",MIN,"181","0","0","63","875","9","3","20","1"
"78",7,"Bo Nix",DEN,"328.7","3775","29","0","0","0","92","430","4"
"79",7,"Brian Robinson Jr.",WAS,"149.8","0","0","20","159","0","187","799","8"
"80",7,"Kyler Murray",ARI,"308.2","3851","21","0","0","0","78","572","5"
"81",7,"Rome Odunze",CHI,"117.9","0","0","54","734","3","3","15","0"
"82",7,"Mark Andrews",BAL,"161.3","0","0","55","673","11","4","5","0"
"83",7,"Travis Kelce",KC,"146.9","0","0","97","823","3","1","1","0"
"84",7,"Jauan Jennings",SF,"172","0","0","77","975","6","0","0","0"
"85",7,"Evan Engram",DEN,"66","0","0","47","365","1","0","0","0"
"86",7,"David Njoku",CLE,"116.5","0","0","64","505","5","0","0","0"
"87",7,"Jaylen Warren",PIT,"105.1","0","0","38","310","0","120","511","1"
"88",7,"Jakobi Meyers",LV,"174.5","0","0","87","1027","4","2","23","0"
"89",8,"Khalil Shakir",BUF,"144.5","0","0","76","821","4","2","4","0"
"90",8,"Tyrone Tracy Jr.",NYG,"163.3","0","0","38","284","1","192","839","5"
"91",8,"Najee Harris",LAC,"186.6","0","0","36","283","0","263","1043","6"
"92",8,"Justin Fields",NYJ,"120.1","1106","5","0","0","0","62","289","5"
"93",8,"Caleb Williams",CHI,"260.5","3541","20","0","0","0","81","489","0"
"94",8,"Justin Herbert",LAC,"288.4","3870","23","0","0","0","69","306","2"
"95",8,"Brock Purdy",SF,"278.9","3864","20","0","0","0","66","323","5"
"96",8,"Travis Etienne Jr.",JAC,"110.7","0","0","39","254","0","150","558","2"
"97",8,"Jayden Reed",GB,"169.5","0","0","55","857","6","20","163","1"
"98",8,"Deebo Samuel Sr.",WAS,"128.1","0","0","51","670","3","42","136","1"
"99",8,"Jared Goff",DET,"336","4629","37","0","0","0","35","56","0"
"100",8,"Dak Prescott",DAL,"124.5","1978","11","0","0","0","13","54","1"
