"ADP","Overall","Name","Position","Team","Times Drafted","Std Dev","High","Low","Bye"
13.04,148.1,Geno Smith,QB,LV,49,13.2,125,181,8
13.06,149.8,Raheem Mostert,RB,LV,4,12.4,136,163,8
13.06,150.5,Ka'imi Fairbairn,PK,HOU,90,17.9,104,190,6
13.07,150.9,Tampa Bay,DEF,TB,15,36.6,63,204,9
13.07,151.0,Brandon McManus,PK,GB,25,11.6,120,164,5
13.07,151.1,Colston Loveland,TE,CHI,141,23.4,90,198,5
13.07,151.1,Jayden Higgins,WR,HOU,104,14.8,113,175,6
13.07,151.3,Cade Otton,TE,TB,16,26.7,86,180,9
13.08,151.7,Jake Bates,PK,DET,127,14.6,113,189,8
13.08,152.1,Mike Gesicki,TE,CIN,25,17.6,111,180,10
13.08,152.4,Ray Davis,RB,BUF,109,20.9,98,194,7
13.09,152.8,Harrison Butker,PK,KC,111,14.0,116,191,10
13.09,153.5,Roschon Johnson,RB,CHI,103,17.7,107,180,5
13.10,153.9,Hunter Henry,TE,NE,45,21.3,102,195,14
13.10,154.2,Anthony Richardson Sr.,QB,IND,14,16.2,132,184,11
13.11,154.7,Michael Penix Jr.,QB,ATL,152,16.4,112,181,5
13.11,154.7,Green Bay,DEF,GB,89,14.9,129,191,5
13.11,154.8,San Francisco,DEF,SF,257,15.3,114,205,14
13.11,154.8,Quentin Johnston,WR,LAC,42,11.5,128,175,12
13.11,155.0,Marquez Valdes-Scantling,WR,SEA,1,0.0,155,155,8
13.11,155.0,Jaylin Lane,WR,WAS,1,0.0,155,155,12
13.11,155.1,Seattle,DEF,SEA,41,16.0,121,179,8
13.11,155.4,Tyler Allgeier,RB,ATL,76,15.9,114,180,5
13.12,156.0,Sam Darnold,QB,SEA,33,17.5,110,179,8
13.12,156.3,Justice Hill,RB,BAL,67,15.9,114,179,7
13.12,156.3,Ollie Gordon II,RB,MIA,3,40.2,123,201,12
13.12,156.3,Shedeur Sanders,QB,CLE,6,17.1,132,179,9
14.01,156.8,Jake Elliott,PK,PHI,76,15.2,131,207,9
14.01,157.1,Minnesota,DEF,MIN,197,18.0,110,209,6
14.01,157.3,Daniel Carlson,PK,LV,13,24.4,108,204,8
14.02,157.7,Kyle Williams,WR,NE,38,12.9,124,184,14
14.02,157.9,Isaiah Likely,TE,BAL,35,22.9,111,198,7
14.02,158.0,DeMario Douglas,WR,NE,19,17.7,113,180,14
14.02,158.3,Trey Benson,RB,ARI,108,19.1,108,190,8
14.02,158.4,NY Jets,DEF,NYJ,9,23.3,124,195,9
14.03,158.8,Xavier Legette,WR,CAR,52,12.3,126,177,14
14.03,159.4,Braelon Allen,RB,NYJ,14,31.1,91,207,9
14.03,159.5,Kyle Pitts,TE,ATL,55,30.3,80,204,5
14.04,159.5,Washington,DEF,WAS,14,18.5,119,194,12
14.04,159.7,Andy Borregales,PK,NE,3,16.2,141,169,14
14.04,159.9,Luther Burden III,WR,CHI,68,16.1,118,181,5
14.04,160.2,Cam Ward,QB,TEN,62,16.9,116,198,10
14.04,160.5,Brenton Strange,TE,JAX,20,26.8,109,210,8
14.05,161.3,Nick Chubb,RB,HOU,41,21.8,121,208,6
14.06,161.5,DJ Giddens,RB,IND,2,14.8,151,172,11
14.06,162.0,Will Reichard,PK,MIN,3,19.1,140,173,6
14.06,162.2,Rico Dowdle,RB,DAL,12,15.3,130,180,10
14.07,163.0,Jason Sanders,PK,MIA,51,16.2,132,204,12
14.07,163.0,DeAndre Hopkins,WR,BAL,28,25.5,96,207,7
14.07,163.0,Daniel Jones,QB,IND,2,14.1,153,173,11
14.07,163.4,LA Chargers,DEF,LAC,23,19.2,120,203,12
14.07,163.4,Darren Waller,TE,MIA,28,25.0,98,198,12
14.07,163.4,Jaylen Wright,RB,MIA,30,27.4,92,204,12
14.08,163.7,Kareem Hunt,RB,KC,52,19.4,115,203,10
14.08,164.0,Samaje Perine,RB,CIN,1,0.0,164,164,10
14.08,164.0,Joshua Palmer,WR,BUF,23,17.7,117,206,7
14.08,164.3,Russell Wilson,QB,NYG,3,14.2,148,173,14
14.08,164.5,Mike Williams,WR,LAC,2,21.9,149,180,12
14.09,165.0,A.J. Dillon,RB,GB,1,0.0,165,165,5
14.09,165.0,Pat Bryant,WR,DEN,1,0.0,165,165,12
14.09,165.4,Michael Wilson,WR,ARI,7,6.8,156,176,8
14.10,165.7,New England,DEF,NE,12,15.8,144,194,14
14.10,165.9,Dont'e Thornton Jr.,WR,LV,20,17.3,120,180,8
14.10,166.1,Chase McLaughlin,PK,TB,67,16.7,126,206,9
14.10,166.2,MarShawn Lloyd,RB,GB,18,18.7,126,209,5
14.10,166.2,Kansas City,DEF,KC,72,15.8,130,208,10
14.10,166.2,Dylan Sampson,RB,CLE,5,18.5,134,179,9
14.10,166.5,Tyler Loop,PK,BAL,79,15.6,136,207,7
14.11,167.0,Jacksonville,DEF,JAX,1,0.0,167,167,8
14.11,167.0,Chad Ryland,PK,ARI,2,1.4,166,168,8
14.11,167.2,Cam Little,PK,JAX,5,17.1,142,189,8
14.11,167.4,Kendre Miller,RB,NO,21,12.7,142,189,11
14.11,167.5,Cleveland,DEF,CLE,19,20.1,130,204,9
14.11,167.5,Joshua Karty,PK,LAR,40,8.9,144,204,8
14.12,167.5,Blake Corum,RB,LAR,10,11.2,145,180,8
14.12,168.0,Arizona,DEF,ARI,9,17.9,134,189,8
14.12,168.4,Chris Boswell,PK,PIT,73,16.3,126,207,5
15.01,168.5,Calvin Austin III,WR,PIT,41,15.4,137,207,5
15.01,169.3,Wil Lutz,PK,DEN,17,18.5,141,208,12
15.02,169.6,Evan McPherson,PK,CIN,82,15.7,140,208,10
15.02,170.0,Tyler Bass,PK,BUF,32,20.3,117,209,7
15.03,170.6,Tyler Lockett,WR,TEN,19,20.1,133,208,10
15.03,171.3,Aaron Rodgers,QB,PIT,45,20.9,117,207,5
15.04,172.0,Tank Dell,WR,HOU,1,0.0,172,172,6
15.06,174.0,Cincinnati,DEF,CIN,8,4.2,168,180,10
15.07,175.0,Tutu Atwell,WR,LAR,2,41.0,146,204,8
15.08,175.6,Zack Moss,RB,CIN,5,8.2,169,189,10
15.08,175.7,Dalton Schultz,TE,HOU,3,6.7,168,180,6
15.08,175.8,Alec Pierce,WR,IND,4,4.3,170,179,11
15.08,176.0,Andrei Iosivas,WR,CIN,1,0.0,176,176,10
15.11,179.0,Miami,DEF,MIA,1,0.0,179,179,12
15.11,179.0,Jordan Whittington,WR,LAR,1,0.0,179,179,8
15.11,179.4,Khalil Herbert,RB,IND,7,15.2,163,209,11
15.12,180.0,Chig Okonkwo,TE,TEN,2,39.6,152,208,10
15.12,180.0,Dyami Brown,WR,JAX,1,0.0,180,180,8
16.01,181.0,Marcus Yarns,RB,NO,1,0.0,181,181,11
16.02,181.9,Jalen McMillan,WR,TB,9,24.9,143,208,9
16.02,182.0,Theo Johnson,TE,NYG,2,9.9,175,189,14
16.04,184.0,Emanuel Wilson,RB,GB,1,0.0,184,184,5
16.06,186.0,Dontayvion Wicks,WR,GB,3,18.4,173,207,5
16.06,186.2,Diontae Johnson,WR,BAL,4,14.5,178,208,7
16.07,186.6,Darius Slayton,WR,NYG,8,13.7,159,203,14
16.10,190.5,Noah Brown,WR,WAS,2,23.3,174,207,12
16.11,191.0,Ray-Ray McCloud III,WR,ATL,2,4.2,188,194,5
16.12,192.0,Cairo Santos,PK,CHI,2,7.1,187,197,5
18.05,209.0,Jason Myers,PK,SEA,1,0.0,209,209,8
18.06,210.0,Jarquez Hunter,RB,LAR,1,0.0,210,210,8
